date,Lagged_Return_1d,High_Low_Range,Range_Change,Volatility_5d,Volatility_20d,Volume,Volume_Change,Volume_MA5,Volume_MA20,Low,High
1/9/2023,0.004032185,0.151799952,-0.056925424,0.040586395,0.062143014,1037100,0.126547904,1096180,825545,11.71707034,11.86887029
1/10/2023,0.004819363,0.094874519,-0.056925434,0.048655503,0.064309279,615700,-0.40632533,964960,818175,11.71707044,11.81194496
1/11/2023,-0.004796188,0.132825414,0.037950895,0.045302485,0.0623497,781300,0.268962157,832620,814155,11.84040743,11.97323284
1/12/2023,0.013654642,0.28462444,0.151799026,0.073978079,0.066994399,802100,0.026622296,831360,827490,11.7170696,12.00169404
1/13/2023,0.002377069,0.094874515,-0.189749925,0.078235842,0.05833946,480700,-0.400698167,743380,813695,11.79297,11.88784451
1/17/2023,-0.009486122,0.066413154,-0.028461361,0.087057568,0.062534683,948200,0.972540046,725600,781180,12.07759415,12.1440073
1/18/2023,0.021548296,0.284625368,0.218212214,0.104878557,0.066972615,1427500,0.505484075,887960,829155,12.02067046,12.30529583
1/19/2023,0.013281327,0.237187656,-0.047437712,0.105349597,0.066445407,807500,-0.434325744,893200,844730,12.05862046,12.29580812
1/20/2023,-0.000771027,0.180262212,-0.056925444,0.092326633,0.065862884,1017600,0.260185759,936300,868260,12.22939531,12.40965752
1/23/2023,0.009259204,0.151799947,-0.028462265,0.083414411,0.064243333,1289900,0.267590409,1098140,886365,12.34324519,12.49504513
1/24/2023,0.006880739,0.189749939,0.037949992,0.052396645,0.06404328,791500,-0.386386542,1066800,889925,12.25785785,12.44760779
